IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
60351,[60703],Data bug,3,0,1.0
60443,[60922],Test bug,5,0,0.13333333333333333
60469,[62891],Performance bug,4,0,-0.18181818181818182
60492,[66818],Data bug,4,1,0.1875
60716,[60558],Processor bug,5,0,0.4583333333333333
60717,[60807],Code bug,3,0,1.0
60722,[60723],Test bug,2,0,0.0
60752,[60901],Processor bug,5,0,0.6666666666666666
60856,60849,Build bug,1,0,0.0
60892,[60945],Processor bug,6,1,0.6666666666666666
61096,[61331],Data bug,3,0,0.8
61103,[63176],Data bug,2,0,1.5
61242,[61429],Data bug,4,0,0.3333333333333333
61251,[67544],Data bug,8,1,0.5714285714285714
61291,[61394],Processor bug,3,1,-0.3076923076923077
61332,[63418],Deployment bug,3,0,0.5
61412,[61529],Data bug,1,1,2.6666666666666665
61446,[63245],Algorithm design bug,3,0,0.375
61454,[62054],Data bug,3,1,-0.5
61540,[61556],Build bug,3,0,0.1
61575,[61630],Build bug,1,0,-2.0
61656,[61698],Data bug,4,1,0.4
61755,[62072],Deployment bug,10,0,1.0769230769230769
61979,[62060],Code bug,1,0,-1.0
62107,[62222],Build bug,1,0,-1.0
62501,[64574],Test bug,6,0,0.625
62793,[63080],Build bug,4,0,-0.14285714285714285
62895,63018,Test bug,2,0,2.5
62967,[63084],Processor bug,6,1,0.21428571428571427
63281,[63390],Data bug,2,1,-0.5
63326,[63374],Memory bug,2,0,-0.6666666666666666
63435,[63967],Data bug,2,0,-1.0
63583,[67192],Test bug,8,1,-0.16666666666666666
63584,[63756],Code bug,3,0,0.75
63869,[63885],Memory bug,1,0,-1.0
63923,[63990],Deployment bug,3,0,1.3
64017,[64202],Version compatibility bug,2,0,0.0
64039,[64100],Algorithm design bug,1,1,0.0
64163,[64203],Algorithm design bug,6,1,0.625
64207,[64556],Code bug,3,1,1.0
64358,[64425],Data bug,2,1,-2.3333333333333335
64813,[64876],Algorithm design bug,1,1,0.0
65084,67588,Code bug,2,0,1.5
65652,[65692],Visualization bug,2,1,1.7142857142857142
65786,[66396],Data bug,1,1,-1.0
66119,[66194],Code bug,5,0,0.5357142857142857
66466,[66567],Build bug,2,0,0.0
66867,[67331],Build bug,4,0,0.0
67239,[67697],Algorithm design bug,6,1,0.375
67601,[68010],Algorithm design bug,2,0,2.5
67685,67686,Test bug,2,0,0.5
67696,[67954],Test bug,2,0,1.125
67742,[67749],Processor bug,3,0,1.0
67764,[67765],Test bug,4,0,1.0
67827,[67994],Algorithm design bug,3,0,1.75
